         time_stamp  satellite_count satellite_name aggregator_flag                        federatedlearning_adjacencymatrix
2025-06-06 22:49:21                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-06-06 22:50:21                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-06-06 22:51:21                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-06-06 22:52:21                4    Satellite 2            True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2025-06-06 22:53:21                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-06-06 22:54:21                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-06-06 22:55:21                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-06-06 22:56:21                4    Satellite 1            True [[0, 1, 0, 0], [1, 0, 1, 0], [0, 1, 0, 0], [0, 0, 0, 0]]
2025-06-06 22:57:21                4    Satellite 1            True [[0, 1, 1, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 0, 0, 0]]
2025-06-06 22:58:21                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
