         time_stamp  satellite_count satellite_name aggregator_flag                        federatedlearning_adjacencymatrix
2025-06-06 22:52:31                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-06-06 22:53:31                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-06-06 22:54:31                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-06-06 22:55:31                4    Satellite 4            True [[0, 1, 0, 0], [1, 0, 1, 0], [0, 1, 0, 1], [0, 0, 1, 0]]
2025-06-06 22:56:31                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-06-06 22:57:31                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-06-06 22:58:31                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-06-06 22:59:31                4    Satellite 3            True [[0, 0, 1, 0], [0, 0, 0, 0], [1, 0, 0, 0], [0, 0, 0, 0]]
2025-06-06 23:00:31                4    Satellite 3            True [[0, 1, 0, 0], [1, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2025-06-06 23:01:31                4    Satellite 3            True [[0, 1, 0, 0], [1, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
