         time_stamp  satellite_count satellite_name aggregator_flag                        federatedlearning_adjacencymatrix
2025-01-07 00:00:00                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-01-07 00:01:00                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-01-07 00:02:00                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-01-07 00:03:00                4    Satellite 1            True [[0, 0, 1, 1], [0, 0, 1, 0], [1, 1, 0, 1], [1, 0, 1, 0]]
2025-01-07 00:04:00                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-01-07 00:05:00                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-01-07 00:06:00                4           None            None [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-01-07 00:07:00                4    Satellite 2            True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 0], [1, 0, 0, 0]]
2025-01-07 00:08:00                4    Satellite 2            True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2025-01-07 00:09:00                4    Satellite 2            True [[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0]]
